iso_code,title,description,pubDate
us,February Thaw at the Flea Market,Dear Diary:,2017-06-01T00:00:03+0000
us,Twitter Fails E.U. Standard on Removing Hate Speech Online,"Twitter has failed to meet European standards for removing hate speech online, figures to be published Thursday show, as pressure mounts, particularly on the Continent, for tech companies to do more to tackle such harmful material.",2017-06-01T00:00:18+0000
us,Obamas Pay $8.1 Million for Home Just Miles From White House,"WASHINGTON  President Barack Obama and his wife, Michelle, who have spent the past few months slowly figuring out the rhythm of post-White House life, have taken some time to invest in local real estate: They just spent $8.1 million to buy the mansion theyve been renting in an exclusive neighborhood here.",2017-06-01T00:08:47+0000
us,Review: The Incomparable Rose Hartman Snaps Glimpses of the Glitterati,"Pushy, judgmental, tart-tongued and self-obsessed, the photographer at the heart of Otis Masss penetrating documentary, The Incomparable Rose Hartman, is, like her snapshots, a piece of work. Ms. Hartman made her name documenting the Studio 54 scene in the 1970s. (Her most famous image may be of Bianca Jagger at the nightclub, astride a horse.) Today she remains a tireless fixture of Manhattan night life, flitting about in her tinted glasses, cropped blond hairdo and high-end designer plumage, attending openings, parties and fashion events, in pursuit of revealing glimpses of the glitterati. And Ms. Hartman indisputably has a gift for capturing the spontaneous moment.",2017-06-01T00:25:13+0000
us,"City Law Illegally Promotes Unionization of Carwash Workers, Judge Rules","A federal judge ruled on Wednesday that a city law to regulate carwash businesses violated federal law because it encouraged unionization, dealing a blow to Mayor Bill de Blasios efforts to increase protections for low-wage carwash employees.",2017-06-01T00:27:38+0000
us,"Review: In Dean, Demetri Martin Doodles Through Grief","Demetri Martin joins the ranks of comics who have written and directed films with the movie Dean, a mild but respectable story about a father and son who react to grief differently and have to recalibrate their relationship as a result.",2017-06-01T00:33:19+0000
us,Yankees Slugger Aaron Judge Is Third in Early All-Star Voting,"BALTIMORE  Before a recent Yankees game against the Tampa Bay Rays, Aaron Judge was stopped by a security guard as he was entering the visitors clubhouse at Tropicana Field.",2017-06-01T00:45:46+0000
us,"Comey Expected to Testify Before Senate, if He Isnt Blocked","Senators expect the former F.B.I. director, James B. Comey, to testify next week about his conversations with President Trump, congressional officials said on Wednesday, setting up a test of the White Houses willingness to cooperate with investigations into Mr. Trumps associates.",2017-06-01T00:48:37+0000
us,"Sorry, Cavaliers. Its Warriors (in Four, Five, Six or Seven).","For the third time in three years, the Golden State Warriors and the Cleveland Cavaliers will go at it in the N.B.A. finals, which begin Thursday night. We asked more than a dozen writers and editors at The New York Times for their take on the series. While most of them picked the Warriors, there were dissenters, too. Their thoughts:",2017-06-01T00:53:51+0000
us,Review: Radio Dreams Builds a Spiritual Home for Stateless Souls,"The fictional San Francisco radio station PARS-FM, where much of Radio Dreams is set, is a study in gray and yellow. Its broadcasting booth is illuminated by a single glowing bulb, and its walls are covered in egg-carton-like soundproofing baffles. Multiple clocks on a wall giving times for cities from around the world are the only decorative feature of an adjacent conference room. If an Iranian in Tokyo is listening and its 4 a.m. there, you know then to say good morning, explains the station manager, Hamid, a grave fellow with a wild mane of white hair. Cozy it is not, yet this Farsi-language station is a spiritual home for Hamid and the stateless musicians and business people who move in and out of the place during the course of a day.",2017-06-01T01:02:32+0000
us,The Back Story on Trump and Medicaid,What can history tell us about the potential impact of President Trump's drastic cuts to Medicaid?,2017-06-01T01:07:56+0000
us,Trump Considers Rolling Back Obamas Opening With Cuba,"WASHINGTON  President Trump is considering reversing major pieces of the Obama administrations opening with Cuba and reinstating limits on travel and commerce, citing human rights abuses by the Castro government as justification for a more punitive approach.",2017-06-01T01:09:27+0000
us,"Review: In Letters From Baghdad, a Woman Who Trod the Sands of History"," Letters From Baghdad: The True Story of Gertrude Bell and Iraq, directed by Sabine Krayenbhl and Zeva Oelbaum, is an experiment in documentary form  an unfortunate choice that perhaps looked good on paper. Bell was born into a wealthy British family in 1868, and was an avid traveler from an early age. This movie focuses on her time in the Middle East during the early 20th century and her role in drawing the modern borders of Iraq, which the United States and other countries have expended a good deal of blood and treasure to maintain and defend.",2017-06-01T01:11:56+0000
us,"Less Tweeting, Lawyers Beg. Covfefe, the President Says.",WASHINGTON  There was a time in the not-too-distant past when President Trump refrained from flamethrowing messages on Twitter.,2017-06-01T01:13:25+0000
us,White House Details Ethics Waivers for Ex-Lobbyists and Corporate Lawyers,"WASHINGTON  President Trump has given at least 16 White House staff members dispensation to work on policy matters they handled while employed as lobbyists or to interact with their former colleagues in private-sector jobs, according to records released late Wednesday.",2017-06-01T01:31:49+0000
us,Income Swings Are Largest Among the Poor and the Rich,Monthly swings in income can vary widely depending on how much you make,2017-06-01T01:35:59+0000
us,"Steady Jobs, With Pay and Hours That Are Anything But",Mirella Casares has what used to be considered the keystone of economic security: a job. But even a reliable paycheck no longer delivers a reliable income.,2017-06-01T01:47:06+0000
us,"Quotation of the Day: Steady Paycheck, Shaky Income, Rising Angst","Were given three bras and a bottle of Bombshell, their No. 1 selling perfume.",2017-06-01T01:49:51+0000
us,Cowboys May Ride Off Into It,"THURSDAY PUZZLE  Todays puzzle might not go down well with proponents of flat Earth theories or those who might believe that the sun revolves around the Earth, but for the purposes of solving todays crossword by Derek Bowman and Sarah Keller, lets just say that our sun is stationary and central to our solar system and that the Earth revolves around it. You dont have to believe it, but it will go a long way toward helping you finish the puzzle.",2017-06-01T02:00:06+0000
us,"A Mobster, a Family and the Crime That Wont Let Them Go","He was once a feared member of the New England underworld, a specialist in robbing armored cars. At 80, he was years out of prison. But could his life of crime ever be behind him?",2017-06-01T02:01:19+0000
us,Uber Limits Loss to $708 Million in First Quarter,"Uber has spent billions to upend the transportation industry. Now, at least for the moment, it is burning slightly less cash in that effort.",2017-06-01T02:25:33+0000
us,Man Stabbed in Portland While Coming to Aid of 2 Girls Shifts Focus to Them,"He was held up as a hero without a cape  the sort of brave, compassionate human being whose actions while on board a Portland light-rail train last week made his mother proud.",2017-06-01T02:38:34+0000
us,"Refugees and Terrorism, or Refugees and Lost Opportunity?","Damien Cave, our Australia bureau chief, shares insights on global news, local recommendations and feedback from readers in this weekly newsletter. To receive it in your inbox, sign up here.",2017-06-01T02:57:27+0000
us,"Fargo Season 3, Episode 7: The World Is Wrong","On this season of Fargo, Michael Stuhlbarg plays Sy Feltz, a character that references both Stan Grossman, the right-hand man to Jerry Lundegaards father-in-law in the Coen brothers Fargo, and Sy Ableman, the gentle-toned widower who runs off with the wife of Stuhlbargs character in the Coens A Serious Man. The fusion seemed superficial at first, another in an ongoing series of hat-tips from creator Noah Hawley to his source of inspiration.",2017-06-01T03:00:04+0000
us,Philippine Military Kills 11 of Its Soldiers in Errant Airstrike,"MANILA  An airstrike by the Philippine military killed 11 of the countrys own soldiers and injured seven others as the government struggled to take back the southern city of Marawi from insurgents loyal to the Islamic State, officials said on Thursday.",2017-06-01T03:48:45+0000
us,"Pardon My Sweat, and Pass the Borscht",Sweat.,2017-06-01T04:00:07+0000
us,"Eric Goode, a New York Night-Life Impresario, Takes On Trump","Eric Goode, 59, is a New York entrepreneur who is an owner of downtown establishments like the Bowery Hotel and the Waverly Inn. He was a creator of Area, the art-gallery-nightclub from the 1980s. He is also a conservationist with something of an obsession for turtles.",2017-06-01T04:00:23+0000
us,At Home in Rome,"For old-school Roman cuisine, these places are in top form. At the tourist-free end of Trastevere, Ristorante la Tavernaccia da Bruno (Via G. Da Castelbolognese; 63; 39-06-581-2792) serves all your classic dishes but also has great ravioli and vignarola. Call for reservations; the secret has long been long out.",2017-06-01T04:01:06+0000
us,What to Read Before You Head to Rome,"To many travelers, visiting Rome is akin to experiencing magic. The reputation is deserved  it is hard to walk through sites like the Colosseum and not be reminded of the citys former splendor, to be struck by its air of romance and mystery. But Rome has evolved, even though our imagination of the Eternal City has not. These books explore the culture, art and grandeur of ancient Rome, but also bring visitors to the present, including a guided tour by a former art critic and a deep exploration of one fictional Italian family.",2017-06-01T04:01:07+0000
us,My Rome: Still a Classic Beauty,"A few hours after landing in Rome, I crossed the Tiber River toward Trastevere, the neighborhood where I lived more than 15 years ago. The river still slithered with reflections of orange lamppost light that reminded me of dragon scales. A familiar cacophony of droning scooters, clanging plates and stray laughter hit me as I skirted the dinner crowd angling for a seat at Trattoria Da Enzo. The gravity of past destinations pulled me around familiar corners and brought me to my old apartment building next to Santa Cecilia, the centuries-old church and convent. All was as I had left it. And now I wanted to leave it.",2017-06-01T04:01:10+0000
us,Chinese Maker of Ivanka Trumps Shoes Looks for Cheaper Labor,"DONGGUAN, China  The Chinese factory workers who make shoes for Ivanka Trump and other designers gather at 7:40 every morning to sing songs.",2017-06-01T04:01:32+0000
us,Masahiro Tanaka Takes a Step Back as the Yankees Lead Shrinks,"BALTIMORE  The Baltimore Orioles were masters of seduction on Wednesday night. They patiently watched first pitch after first pitch from Masahiro Tanaka, perhaps giving him the idea that he could steal a strike.",2017-06-01T04:03:58+0000
us,"Climate Change, Kabul, Theresa May: Your Thursday Briefing",(Want to get this briefing by email? Heres the sign-up.),2017-06-01T04:09:18+0000
us,Mets Pitchers Were on a Roll. Their Ace Brings It to a Halt.,Mets Manager Terry Collins has a knack for taking a sport as complex and volatile as baseball and reducing it to its simplest form.,2017-06-01T04:09:26+0000
us,"With Another Quick Burst, Penguins Escape the Predators","PITTSBURGH  Pekka Rinne tries to expunge subpar performances by visualizing good ones, of which he has had plenty for the Nashville Predators during these playoffs. He recalls the saves he has made, the teams he has foiled.",2017-06-01T04:14:38+0000
us,The U.S. Is the Biggest Carbon Polluter in History. It Just Walked Away From the Paris Climate Deal.,The United States has emitted more planet-warming carbon dioxide into the atmosphere than any other country. Now it is walking back a promise to lower emissions.,2017-06-01T04:15:14+0000
us,Mr. Mets Obscene Gesture Makes a Tough Season Even Crazier,"A bad night for the Mets on the field only got worse when the clubs longtime mascot, Mr. Met, was caught on video making an obscene gesture toward a fan in the late stages of the Mets 7-1 loss to the Milwaukee Brewers at Citi Field on Wednesday.",2017-06-01T04:34:03+0000
us,"Houston Astros, With Six Home Runs, Win Their Seventh Straight","George Springer reached base in all six plate appearances and hit two of Houstons season-high six home runs to lead the visiting Astros to their seventh straight victory, 17-6, over the Minnesota Twins on Wednesday.",2017-06-01T04:42:51+0000
us,Whats on TV Thursday: My Name Is Emily and The Tunnel,"A Dublin teenager and her only friend go on a road trip to save her father in My Name Is Emily, starring Evanna Lynch. And The Tunnel, the British-French version of The Bridge, prepares for a second season.",2017-06-01T05:00:19+0000
us,Word + Quiz: disputatious,_________,2017-06-01T06:00:07+0000
us,Fasting and Food for Ramadan,"Ramadan began Friday evening in the United States, and on Saturday in other parts of the world. For 30 consecutive days, many of the 1.8 billion Muslims around the world will fast, eating each evening after the sun goes down and squeezing in a predawn meal before it rises again.",2017-06-01T06:02:05+0000
us,"Hidden Away for 28 Years, Tiananmen Protest Pictures See Light of Day","For nearly 28 years, David Chen hid away a treasure chest of black-and-white photographs that he took of the protest movement that erupted at Tiananmen Square in Beijing in the spring of 1989.",2017-06-01T06:19:40+0000
us,Buffons Last Hurdle: A Champions League Crown,"TURIN, Italy  It was late one Saturday night when Nevio Scala, the manager of Parma, made his way to Gianluigi Buffons hotel room. He wanted to ask Buffon a question, even if he knew what the answer would be.",2017-06-01T07:00:19+0000
us,Latin American Pictures of the Year,"Despite the challenges facing photojournalism, the winners of the latest Pictures of the Year Latam competition show how they are surging forward by staying true to their vision.",2017-06-01T07:05:59+0000
us,The Womb Is No Protection From Toxic Chemicals,"Until a few decades ago, the popular but falsely reassuring belief was that babies in the womb were perfectly protected by the placenta and that children were just little adults, requiring no special protections from environmental threats. We now know that a host of chemicals, pollutants and viruses readily travel across the placenta from mother to fetus, pre-polluting or pre-infecting a baby even before birth.",2017-06-01T07:21:05+0000
us,Rule-Benders Require New Rules,President Trump blurted a telling remark in a presidential debate when he was accused of failing to pay income taxes: That makes me smart.,2017-06-01T07:21:05+0000
us,Trump and Merkel Hate Each Other. So What?,"BERLIN  The Atlantic is rough these days, as stormy disregard blows from the United States to Europe and back. After President Trump attacked Germanys trade practices, Chancellor Angela Merkel told a campaign rally in Munich that the times we can completely rely on others are somewhat over and that we Europeans must take our destiny into our own hands. Mr. Trump reacted with a tweeted threat, citing Germanys failure to meet NATOs military spending goals, saying this will change.",2017-06-01T07:21:06+0000
us,Disarming the Domestic Abuser,"Progress on gun control has been glacially slow, and on the federal level nonexistent. Even so, its worth noting and celebrating laws enacted in four states this year to deal with one of the grimmest aspects of the nations firearms carnage  the murders of about 50 women each month, shot to death by current or former intimate partners. Many had been the victims of repeated domestic abuse. Some had obtained court protection orders that proved no defense against the fury of an abuser who came armed.",2017-06-01T07:21:23+0000
us,Oh Dear. The Trumps Keep Multiplying.,The kids are not alright.,2017-06-01T07:21:24+0000
us,The Complexities of James Comey,"There is no other way to put it: Former F.B.I. Director James Comey tragically botched the investigation into Hillary Clinton, no doubt playing a part in her losing and Donald Trumps being elected.",2017-06-01T07:21:25+0000
us,Has the Democratic Party Gotten Too Rich for Its Own Good?,"During his primary campaign against Hillary Clinton, Senator Bernie Sanders, a self-proclaimed socialist, lived up to the grand Democratic tradition of favoring the underdog at the expense of the rich.",2017-06-01T07:54:22+0000
